Year,Genre encoded,Votes encoded,Director encoded,Actor 1 encoded,Actor 2 encoded,Actor 3 encoded,Predicted_Rating
1954,6.0,5.8,6.0,5.8,6.6,5.8,5.8
2014,6.2,8.1,8.1,6.9,6.4,5.1,8.1
2000,5.3,5.6,5.0,5.6,5.8,5.1,5.5
2013,5.4,5.4,3.9,1.9,3.5,1.9,2.4
2004,5.6,5.8,5.8,5.8,5.8,5.9,5.799999999999836
1990,5.8,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1975,5.9,5.8,5.8,5.8,5.8,5.8,5.799999999999836
1984,6.0,5.7,5.2,6.3,6.3,6.3,6.4
1990,5.7,5.8,5.9,5.9,5.9,5.9,5.799999999999973
1968,6.0,5.7,5.9,5.9,6.0,6.0,6.2
1981,5.6,5.7,5.7,6.4,5.8,6.0,5.7
1937,6.0,5.8,5.8,5.9,5.9,5.8,5.799999999999836
1984,6.0,5.5,5.2,6.1,6.7,5.8,5.2
1945,6.0,5.8,5.6,5.8,6.4,6.0,4.9
1990,5.5,6.1,5.2,4.6,5.1,5.3,5.3
1961,6.0,5.8,5.9,5.8,5.7,5.8,6.0
1986,5.5,6.5,5.5,5.2,5.7,4.7,6.0
1979,5.7,5.8,5.9,5.9,5.9,5.9,5.800000000000003
1948,6.0,5.8,5.8,5.8,6.2,5.9,5.800000000000004
2019,5.7,5.8,5.4,5.1,5.3,5.8,5.8
1985,6.0,5.4,6.2,6.3,6.0,4.7,4.7
2007,6.1,8.4,8.4,8.4,8.4,7.0,8.4
2018,6.5,6.0,6.5,7.0,6.3,6.9,6.7
1961,6.0,5.8,5.9,5.8,5.9,6.0,5.800000000000006
1994,5.6,5.8,5.8,5.3,5.2,5.8,5.8
2004,5.7,5.8,5.8,5.9,5.9,5.9,5.799999999999836
2019,5.7,5.8,6.6,6.6,5.9,5.9,6.1
2004,5.7,5.8,5.8,5.8,5.8,6.1,5.800000000000004
1999,6.0,5.8,5.8,5.8,5.8,5.9,5.799999999999836
2021,6.0,5.8,5.8,5.8,5.8,5.8,5.799999999999836
2011,5.5,5.6,5.1,6.0,5.6,5.6,5.1
1948,6.0,5.8,5.7,5.8,5.9,5.9,5.799999999999836
2003,5.8,5.8,5.8,5.6,5.5,5.8,5.8
1944,5.6,5.8,5.8,5.9,5.9,5.9,5.799999999999836
1943,6.0,5.8,6.6,5.8,5.8,6.1,5.800000000000004
1949,6.0,5.8,5.8,5.8,5.9,5.9,5.799999999999836
1972,6.1,5.6,5.8,5.7,5.7,5.8,4.7
1956,5.9,7.1,8.2,8.2,6.5,7.0,8.200000000000001
1932,6.0,5.8,5.7,5.8,5.9,5.8,5.799999999999836
2015,6.0,5.8,5.8,5.7,5.8,5.6,5.8
1972,5.9,6.0,6.9,7.0,6.9,6.2,7.1
1980,6.1,5.6,4.8,5.7,5.6,5.3,4.8
1974,5.6,5.8,5.8,5.8,6.0,5.0,5.800000000000003
2017,5.7,5.8,5.8,6.4,5.8,5.8,5.800000000000008
1999,6.0,5.8,5.8,6.0,6.5,5.8,5.799999999999999
1942,6.0,5.8,5.9,5.9,5.8,5.9,5.800000000000004
2019,5.9,5.8,6.0,5.9,5.9,5.9,5.8
1973,6.0,5.8,5.9,5.9,5.8,5.8,5.8
2008,6.3,5.8,4.8,4.8,6.4,6.0,4.4
1974,5.6,5.8,5.5,5.8,5.8,5.8,5.799999999999836
2003,5.7,5.8,5.4,5.8,5.8,5.8,5.8000000000000025
1988,6.0,5.8,5.8,5.9,5.8,5.8,5.799999999999836
2006,6.4,6.2,3.3,4.2,3.3,4.6,2.6
1968,5.6,5.8,5.8,6.1,6.0,5.8,5.8
1997,5.5,5.0,5.3,6.0,5.7,4.4,5.7
2018,5.7,4.6,4.8,5.4,5.7,5.4,5.3
2019,6.1,5.8,6.0,6.2,5.5,5.8,5.799999999999998
1960,5.8,5.8,5.8,5.8,5.9,6.1,5.8
2019,6.3,5.8,5.8,5.8,5.9,5.9,5.799999999999836
